date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:00	133584/133584	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:55%20GMT	https://templates.envytheme.com/traip/default/index.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/index.html	(from )
10:45:00	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Jul%202022%2003:45:01%20GMT	https://templates.envytheme.com/robots.txt		(from )
10:45:01	2609/2609	---M--	200	added ('OK')	image/png	etag:%2261556a16-d8a%22	https://templates.envytheme.com/traip/default/assets/images/favicon.png	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/favicon.png	(from https://templates.envytheme.com/traip/default/index.html)
10:45:01	162717/162717	---MCZ	200	added ('OK')	text/css	etag:W/%2261556a0f-27b9d%22	https://templates.envytheme.com/traip/default/assets/css/bootstrap.min.css	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/traip/default/index.html)
10:45:01	71756/71756	---MCZ	200	added ('OK')	text/css	etag:W/%2261556a0f-1184c%22	https://templates.envytheme.com/traip/default/assets/css/animate.min.css	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/css/animate.min.css	(from https://templates.envytheme.com/traip/default/index.html)
10:45:01	3356/3356	---MCZ	200	added ('OK')	text/css	etag:W/%2261556a10-d1c%22	https://templates.envytheme.com/traip/default/assets/css/owl.carousel.min.css	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/traip/default/index.html)
10:45:02	1018/1018	---MCZ	200	added ('OK')	text/css	etag:W/%2261556a10-3fa%22	https://templates.envytheme.com/traip/default/assets/css/owl.theme.default.min.css	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/css/owl.theme.default.min.css	(from https://templates.envytheme.com/traip/default/index.html)
10:45:02	7537/7537	---MCZ	200	added ('OK')	text/css	etag:W/%2261556a0f-1d71%22	https://templates.envytheme.com/traip/default/assets/css/meanmenu.min.css	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/css/meanmenu.min.css	(from https://templates.envytheme.com/traip/default/index.html)
10:45:02	30753/30753	---MCZ	200	added ('OK')	text/css	etag:W/%2261556a0f-7821%22	https://templates.envytheme.com/traip/default/assets/css/jquery-ui.min.css	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/css/jquery-ui.min.css	(from https://templates.envytheme.com/traip/default/index.html)
10:45:02	6639/6639	---MCZ	200	added ('OK')	text/css	etag:W/%2261556a10-19ef%22	https://templates.envytheme.com/traip/default/assets/css/selectize.min.css	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/css/selectize.min.css	(from https://templates.envytheme.com/traip/default/index.html)
10:45:02	5259/5259	---MCZ	200	added ('OK')	text/css	etag:W/%2261556a0f-148b%22	https://templates.envytheme.com/traip/default/assets/css/magnific-popup.min.css	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/css/magnific-popup.min.css	(from https://templates.envytheme.com/traip/default/index.html)
10:45:03	92220/92220	---MCZ	200	added ('OK')	text/css	etag:W/%2261556a0f-1683c%22	https://templates.envytheme.com/traip/default/assets/css/icofont.min.css	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/css/icofont.min.css	(from https://templates.envytheme.com/traip/default/index.html)
10:45:03	3827/3827	---MCZ	200	added ('OK')	text/css	etag:W/%2261556a0f-ef3%22	https://templates.envytheme.com/traip/default/assets/css/flaticon.css	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/css/flaticon.css	(from https://templates.envytheme.com/traip/default/index.html)
10:45:03	169734/169734	---MCZ	200	added ('OK')	text/css	etag:W/%2261556a10-29706%22	https://templates.envytheme.com/traip/default/assets/css/style.css	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/css/style.css	(from https://templates.envytheme.com/traip/default/index.html)
10:45:03	34228/34228	---MCZ	200	added ('OK')	text/css	etag:W/%2261556a10-85b4%22	https://templates.envytheme.com/traip/default/assets/css/responsive.css	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/css/responsive.css	(from https://templates.envytheme.com/traip/default/index.html)
10:45:04	2268/2268	---M--	200	added ('OK')	image/png	etag:%2261556a18-c23%22	https://templates.envytheme.com/traip/default/assets/images/uk.png	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/uk.png	(from https://templates.envytheme.com/traip/default/index.html)
10:45:04	957/957	---M--	200	added ('OK')	image/png	etag:%2261556a16-3bd%22	https://templates.envytheme.com/traip/default/assets/images/china.png	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/china.png	(from https://templates.envytheme.com/traip/default/index.html)
10:45:04	1336/1336	---M--	200	added ('OK')	image/png	etag:%2261556a18-538%22	https://templates.envytheme.com/traip/default/assets/images/uae.png	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/uae.png	(from https://templates.envytheme.com/traip/default/index.html)
10:45:04	1578/1578	---M--	200	added ('OK')	image/png	etag:%2261556a16-dfe%22	https://templates.envytheme.com/traip/default/assets/images/logo.png	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/logo.png	(from https://templates.envytheme.com/traip/default/index.html)
10:45:04	2276/2276	---M--	200	added ('OK')	image/png	etag:%2261556a16-e03%22	https://templates.envytheme.com/traip/default/assets/images/logo-default-color.png	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/logo-default-color.png	(from https://templates.envytheme.com/traip/default/index.html)
10:45:05	48420/48420	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:53%20GMT	https://templates.envytheme.com/traip/default/authentication.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/authentication.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:05	48732/48732	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:54%20GMT	https://templates.envytheme.com/traip/default/cart.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/cart.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:05	137596/137596	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:55%20GMT	https://templates.envytheme.com/traip/default/index-2.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/index-2.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:05	90258/90258	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:55%20GMT	https://templates.envytheme.com/traip/default/index-3.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/index-3.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:05	82556/82556	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:53%20GMT	https://templates.envytheme.com/traip/default/about-us.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/about-us.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:06	51418/51418	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:54%20GMT	https://templates.envytheme.com/traip/default/faqs.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/faqs.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:06	46476/46476	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:55%20GMT	https://templates.envytheme.com/traip/default/get-in-touch.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/get-in-touch.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:06	60478/60478	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:56%20GMT	https://templates.envytheme.com/traip/default/products.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/products.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:06	64953/64953	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:56%20GMT	https://templates.envytheme.com/traip/default/single-product.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/single-product.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:06	57189/57189	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:54%20GMT	https://templates.envytheme.com/traip/default/checkout.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/checkout.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:07	46033/46033	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:57%20GMT	https://templates.envytheme.com/traip/default/wishlist.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/wishlist.html	(from https://templates.envytheme.com/traip/default/index.html)
